iso2,zip_code,location
AT,3214,Puchenstuben
AT,3221,Gösing an der Mariazellerbahn
AT,3222,Annaberg
AT,3223,Wienerbruck
AT,3224,Mitterbach
AT,3231,St. Margarethen an der Sierning
AT,3232,Bischofstetten
AT,3233,Kilb
AT,3240,Mank
AT,3241,Kirnberg an der Mank
AT,3242,Texing
AT,3243,St. Leonhard am Forst
AT,3244,Ruprechtshofen
AT,3250,Wieselburg
AT,3251,Purgstall
AT,3252,Petzenkirchen
AT,3253,Erlauf
AT,3254,Bergland
AT,3261,Steinakirchen am Forst
AT,3262,Wang
AT,3263,Randegg
AT,3264,Gresten
AT,3270,Scheibbs
AT,3281,Oberndorf an der Melk
AT,3282,St. Georgen an der Leys
AT,3283,St. Anton an der Jeßnitz
AT,3291,Kienberg
AT,3292,Gaming
AT,3293,Lunz am See
AT,3294,Langau
AT,3295,Lackenhof
AT,3300,Amstetten
AT,3304,St. Georgen am Ybbsfelde
AT,3311,Zeillern
AT,3312,Oed
AT,3313,Wallsee
AT,3314,Strengberg
AT,3321,Ardagger
AT,3322,Viehdorf
AT,3323,Neustadtl an der Donau
AT,3324,Euratsfeld
AT,3325,Ferschnitz
AT,3331,Kematen
AT,3332,Rosenau am Sonntagberg
AT,3333,Böhlerwerk
AT,3334,Gaflenz
AT,3335,Weyer
AT,3340,Waidhofen an der Ybbs
AT,3341,Ybbsitz
AT,3342,Opponitz
AT,3343,Hollenstein an der Ybbs
AT,3344,St. Georgen am Reith
AT,3345,Göstling an der Ybbs
AT,3350,Haag
AT,3351,Weistrach
AT,3352,St. Peter in der Au
AT,3353,Seitenstetten
AT,3354,Wolfsbach
AT,3355,Ertl
AT,3361,Aschbach Markt
AT,3362,Mauer-Öhling
AT,3363,Ulmerfeld-Hausmening
AT,3364,Neuhofen an der Ybbs
AT,3365,Allhartsberg
AT,3370,Ybbs an der Donau
AT,3371,Neumarkt an der Ybbs
AT,3372,Blindenmarkt
AT,3373,Kemmelbach
AT,3374,Säusenstein
AT,3375,Krummnußbaum
AT,3376,St. Martin-Karlsbach
AT,3380,Pöchlarn
AT,3381,Golling
AT,3382,Loosdorf
AT,3383,Hürm
AT,3384,Groß Sierning
AT,3385,Prinzersdorf
AT,3386,Hafnerbach
AT,3390,Melk
AT,3392,Schönbühel an der Donau
AT,3393,Matzleinsdorf
AT,3394,Schönbühel-Aggsbach
AT,3400,Klosterneuburg
AT,3413,Hintersdorf
AT,3420,Kritzendorf
AT,3421,Höflein an der Donau
AT,3422,Greifenstein
AT,3423,St. Andrä-Wördern
AT,3424,Zeiselmauer
AT,3425,Langenlebarn
AT,3426,Muckendorf-Wipfing
AT,3430,Tulln an der Donau
AT,3433,Königstetten
AT,3434,Tulbing
AT,3435,Zwentendorf an der Donau
AT,3441,Judenau
AT,3442,Langenrohr
AT,3443,Sieghartskirchen
AT,3451,Michelhausen
AT,3452,Atzenbrugg
AT,3454,Sitzenberg-Reidling
AT,3462,Absdorf
AT,3463,Stetteldorf am Wagram
AT,3464,Hausleiten
AT,3465,Königsbrunn am Wagram
AT,3470,Kirchberg am Wagram
AT,3471,Großriedenthal
AT,3472,Hohenwarth
AT,3473,Mühlbach am Manhartsberg
AT,3474,Altenwörth
AT,3481,Fels am Wagram
AT,3482,Gösing am Wagram
AT,3483,Feuersbrunn
AT,3484,Grafenwörth
AT,3485,Haitzendorf
AT,3491,Straß im Straßertale
AT,3492,Etsdorf am Kamp
AT,3493,Hadersdorf am Kamp
AT,3494,Gedersdorf
AT,3495,Rohrendorf bei Krems
AT,3500,Krems an der Donau
AT,3506,Krems-Hollenburg
AT,3508,Paudorf
AT,3511,Furth bei Göttweig
AT,3512,Mautern
AT,3521,Obermeisling
AT,3522,Lichtenau
AT,3524,Grainbrunn
AT,3525,Sallingberg
AT,3531,Niedernondorf
AT,3532,Rastenfeld
AT,3533,Friedersbach
AT,3541,Senftenberg
AT,3542,Gföhl
AT,3543,Krumau am Kamp
AT,3544,Idolsberg
AT,3550,Langenlois
AT,3552,Lengenfeld
AT,3553,Schiltern
AT,3561,Zöbing
AT,3562,Schönberg
AT,3564,Plank am Kamp
AT,3571,Gars am Kamp
AT,3572,St. Leonhard am Hornerwald
AT,3573,Rosenburg
AT,3580,Horn
AT,3591,Altenburg
AT,3592,Röhrenbach
AT,3593,Neupölla
AT,3594,Franzen
AT,3595,Brunn an der Wild
AT,3601,Dürnstein
AT,3602,Rossatz
AT,3610,Weißenkirchen in der Wachau
AT,3611,Großheinrichschlag
AT,3613,Albrechtsberg an der Großen Krems
AT,3620,Spitz
AT,3621,Mitterarnsdorf
AT,3622,Mühldorf
AT,3623,Kottes
AT,3631,Ottenschlag
AT,3632,Bad Traunstein
AT,3633,Schönbach
AT,3641,Aggsbach Markt
AT,3642,Aggsbach Dorf
AT,3643,Maria Laach am Jauerling
AT,3644,Emmersdorf an der Donau
AT,3650,Pöggstall
AT,3652,Leiben
AT,3653,Weiten
AT,3654,Raxendorf
AT,3660,Klein-Pöchlarn
AT,3661,Artstetten
AT,3662,Münichreith
AT,3663,Laimbach am Ostrong
AT,3664,Martinsberg
AT,3665,Gutenbrunn
AT,3671,Marbach an der Donau
AT,3672,Maria Taferl
AT,3680,Persenbeug
AT,3681,Hofamt Priel
AT,3683,Yspertal
AT,3684,St. Oswald
AT,3691,Nöchling
AT,3701,Großweikersdorf
AT,3702,Niederrußbach
AT,3704,Glaubendorf
AT,3710,Ziersdorf
AT,3711,Großmeiseldorf
AT,3712,Maissau
AT,3713,Harmannsdorf
AT,3714,Sitzendorf an der Schmida
AT,3720,Ravelsbach
AT,3721,Limberg
AT,3722,Straning
AT,3730,Eggenburg
AT,3741,Pulkau
AT,3742,Theras
AT,3743,Röschitz
AT,3744,Stockern
AT,3751,Sigmundsherberg
AT,3752,Walkenstein
AT,3753,Hötzelsdorf
AT,3754,Irnfritz
AT,3761,Messern
AT,3762,Ludweis
AT,3763,Japons
AT,3800,Göpfritz an der Wild
AT,3804,Allentsteig
AT,3811,Kirchberg an der Wild
AT,3812,Groß Siegharts
AT,3813,Dietmanns
AT,3814,Aigen
AT,3820,Raabs an der Thaya
AT,3822,Karlstein an der Thaya
AT,3823,Weikertschlag an der Thaya
AT,3824,Großau
AT,3830,Waidhofen an der Thaya
AT,3834,Pfaffenschlag bei Waidhofen an der Thaya
