iso2,location,zip_code,route, 
FR,NERIS LES BAINS,03310,,
FR,NEUILLY LE REAL,03340,,
FR,NOYANT D ALLIER,03210,,
FR,POUZY MESANGY,03320,,
FR,REUGNY,03190,,
FR,ST ELOY D ALLIER,03370,,
FR,ST LEOPARDIN D AUGY,03160,,
FR,ST MARCEL EN MARCILLAT,03420,,
FR,ST MARTIN DES LAIS,03230,,
FR,ST PLAISIR,03160,,
FR,ST POURCAIN SUR SIOULE,03500,,
FR,ST SAUVIER,03370,,
FR,SORBIER,03220,,
FR,TARGET,03140,,
FR,TEILLET ARGENTY,03410,,
FR,TERJAT,03420,,
FR,LE THEIL,03240,,
FR,TREVOL,03460,,
FR,USSEL D ALLIER,03140,,
FR,VAUMAS,03220,,
FR,VILLEFRANCHE D ALLIER,03430,,
FR,VILLEFRANCHE D ALLIER,03430,NEUVILLE,
FR,VILLENEUVE SUR ALLIER,03460,,
FR,YGRANDE,03160,,
FR,ALLOS,04260,LA FOUX D ALLOS,
FR,ANNOT,04240,,
FR,AUBIGNOSC,04200,,
FR,AUZET,04140,,
FR,BARCELONNETTE,04400,,
FR,BAYONS,04250,,
FR,BELLAFFAIRE,04250,,
FR,BEVONS,04200,,
FR,LE CAIRE,04250,,
FR,CASTELLANE,04120,TAULANNE,
FR,LE CASTELLARD MELAN,04380,,
FR,LE CHAFFAUT ST JURSON,04510,ESPINOUSE,
FR,CHATEAU ARNOUX ST AUBAN,04160,,
FR,CHATEAUNEUF VAL ST DONAT,04200,,
FR,CHATEAUREDON,04270,,
FR,CLARET,05110,,
FR,CLUMANC,04330,,
FR,COLMARS,04370,,
FR,LA CONDAMINE CHATELARD,04530,STE ANNE,
FR,CRUIS,04230,,
FR,DAUPHIN,04300,,
FR,DRAIX,04420,,
FR,ENTRAGES,04000,,
FR,ENTREVAUX,04320,,
FR,LA GARDE,04120,,
FR,JAUSIERS,04850,,
FR,LURS,04700,,
FR,VAL D ORONAYE,04530,LARCHE,
FR,MISON,04200,,
FR,MONTAGNAC MONTPEZAT,04500,,
FR,MONTFORT,04600,,
FR,MONTLAUX,04230,,
FR,MORIEZ,04170,,
FR,MOUSTIERS STE MARIE,04360,,
FR,PEYRUIS,04310,,
FR,PIEGUT,05130,,
FR,PIERRERUE,04300,,
FR,PIERREVERT,04860,,
FR,PUIMICHEL,04700,,
FR,MEOLANS REVEL,04340,,
FR,MEOLANS REVEL,04340,MEOLANS,
FR,MEOLANS REVEL,04340,REVEL,
FR,REVEST DU BION,04150,,
FR,ST ANDRE LES ALPES,04170,,
FR,STE CROIX DU VERDON,04500,,
FR,ST MICHEL L OBSERVATOIRE,04870,LINCEL,
FR,ST PAUL SUR UBAYE,04530,,
FR,SENEZ,04270,LE POIL,
FR,THOARD,04380,LA PERUSSE,
FR,THORAME HAUTE,04170,,
FR,LES THUILES,04400,,
FR,UBRAYE,04240,,
FR,VALAVOIRE,04250,,
FR,VENTEROL,05130,,
FR,LE VERNET,04140,,
FR,VILLEMUS,04110,,
FR,ANCELLE,05260,,
FR,ARVIEUX,05350,,
FR,LA BATIE MONTSALEON,05700,,
FR,LA BEAUME,05140,,
FR,CHAMPOLEON,05260,,
FR,CHATEAUNEUF D OZE,05400,,
FR,CHATEAUROUX LES ALPES,05380,,
FR,AUBESSAGNE,05500,ST EUSEBE EN CHAMPSAUR,
FR,AUBESSAGNE,05800,CHAUFFAYER,
FR,GARDE COLOMBE,05300,LAGRAND,
FR,FOUILLOUSE,05130,,
FR,LA FREISSINOUSE,05000,,
FR,LE GLAIZIL,05800,,
FR,GUILLESTRE,05600,,
FR,JARJAYES,05130,,
FR,LETTRET,05130,,
FR,MONETIER ALLEMONT,05110,,
FR,LE MONETIER LES BAINS,05220,,
FR,MONTCLUS,05700,,
FR,MONTGARDIN,05230,,
FR,MOYDANS,05150,,
FR,NOSSAGE ET BENEVENT,05700,,
FR,LE NOYER,05500,,
FR,PELLEAUTIER,05000,,
FR,VAL BUECH MEOUGE,05300,CHATEAUNEUF DE CHABRE,
FR,VAL BUECH MEOUGE,05300,RIBIERS,
FR,ST ANDRE DE ROSANS,05150,,
FR,ST CLEMENT SUR DURANCE,05600,,
FR,LE DEVOLUY,05250,ST DISDIER,
FR,ST JACQUES EN VALGODEMARD,05800,,
FR,ST JEAN ST NICOLAS,05260,LE PONT DU FOSSE,
FR,ST MICHEL DE CHAILLOL,05260,,
FR,ST PIERRE D ARGENCON,05140,,
FR,SALERANS,05300,,
FR,LA SAULCE,05110,,
FR,THEUS,05190,,
FR,VAL DES PRES,05100,,
FR,VARS,05560,,
FR,VEYNES,05400,,
FR,VILLAR D ARENE,05480,,
FR,AMIRAT,06910,,
FR,ANDON,06750,,
FR,ANDON,06750,THORENC,
FR,ANTIBES,06160,CAP D ANTIBES,
FR,ANTIBES,06600,LA FONTONNE,
FR,BEZAUDUN LES ALPES,06510,,
FR,CARROS,06510,,
FR,CASTELLAR,06500,,
FR,CHATEAUNEUF VILLEVIEILLE,06390,,
FR,CLANS,06420,,
FR,COARAZE,06390,,
FR,COLOMARS,06670,,
FR,COURMES,06620,,
FR,LA CROIX SUR ROUDOULE,06260,,
FR,DALUIS,06470,,
FR,GORBIO,06500,,
FR,GRASSE,06130,,
FR,GRASSE,06130,LE PLAN DE GRASSE,
FR,GREOLIERES,06620,,
FR,LIEUCHE,06260,,
FR,NICE,06200,,
